C_S,L_R,A_I,N_R,N_S,D_R,C_R,M_U,main
1,12185.152,147.5789948,2,3,3,1.49000001,24772.696,1
1,14175.339,146.7380066,2,8,7,1.394999981,82147.473,1
1,2616.886,164.6260071,2,7,6,1.19599998,79530.587,1
0,10275.942,99.15309906,0,1,1,1.371999979,0,0
1,4793.017,170.9819946,2,4,4,1.230999947,36957.848,1
0,26409.153,129.9620056,0,1,1,1.381000042,0,0
1,36519.243,144.3549957,2,183,34,1.126000047,468042.356,1
1,8135.165,128.7510071,2,182,33,1.121999979,459907.191,1
1,7917.341,174.2230072,2,32,17,1.146000028,229003.819,1
0,6795.418,97.23049927,0,1,1,1.340000033,0,0
1,9117.267,153.5650024,2,181,32,1.093999982,450789.924,1
1,5479.573,136.1710052,2,180,31,1.284999967,445310.351,1
0,9511.509,175.1069946,2,5,5,1.592000008,41750.865,0
1,1999.742,162.9259949,2,33,18,1.143000007,236921.16,1
0,19922.403,77.51689911,0,1,1,1.68900001,0,0
0,7797.932,88.58769989,0,1,1,1.447000027,0,0
1,26932.176,137.9400024,0,1,1,1.907999992,0,1
0,15854.444,79.12870026,0,1,1,1.559000015,0,0
1,22979.631,155.9680023,2,6,5,1.694000006,56550.956,1
0,12802.007,95.01860046,0,1,1,1.411999941,0,0
0,11785.938,71.86699677,0,1,1,1.603999972,0,0
0,7449.725,115.6930008,0,1,1,2.105999947,0,0
0,25433.482,126.4199982,0,1,1,1.621000051,0,0
1,26680.95,141.1529999,2,2,2,1.393000007,19324.841,1
1,22465.777,127.1930008,2,14,8,1.661000013,134454.813,1
0,10122.88,94.2928009,0,1,1,1.463000059,0,0
0,7851.217,129.3789978,0,1,1,1.672999978,0,0
1,11279.704,120.1110001,2,15,9,1.478999972,156920.59,1
1,19324.841,112.7340012,0,1,1,2.65199995,0,1
0,17096.579,125.6380005,0,1,1,1.465000033,0,0
0,10500.366,97.86430359,2,4,4,1.539000034,46050.59,0
0,37426.699,157.8970032,2,2,2,1.832000017,11762.316,0
1,7068.533,148.5789948,2,3,3,1.652999997,38982.057,1
1,17763.305,123.1279984,0,1,1,1.968999982,0,1
0,3187.843,166.9790039,0,1,1,1.253000021,0,0
1,7261.661,125.7890015,0,1,1,1.268000007,0,1
1,21417.468,151.6170044,0,1,1,1.378999949,0,1
0,5358.65,125.0599976,2,2,2,1.656000018,17763.305,0
0,17942.052,161.0559998,0,1,1,1.389999986,0,0
1,13314.74,148.7960052,2,16,10,1.337000012,168200.294,1
1,26963.271,110.5859985,2,175,30,1.151000023,418347.08,1
0,14978.934,111.0179977,0,1,1,1.338999987,0,0
0,13259.482,65.46250153,0,1,1,1.279000044,0,0
0,11762.316,136.2019958,0,1,1,1.80400002,0,0
