C_S,L_R,A_I,N_R,N_S,D_R,C_R,M_U
0,12741.234,134.1295331,2,5,5,1.448,12983.868
1,733.891,126.7091406,2,114,21,1.006,141587.42
1,2492.795,102.3522325,2,5,5,1.687,33934.856
1,2235.261,100.9963565,2,124,22,1.071,142321.311
0,426.054,131.200911,0,1,1,1.097,0
1,4189.622,177.6093847,0,1,1,1.32,0
0,785.411,112.539307,0,1,1,1.187,0
0,526.675,90.90270393,0,1,1,1.306,0
1,283.851,145.5161202,2,18,10,1.004,34254.388
1,998.388,175.6485722,2,2,2,1.077,4189.622
0,1020.026,119.0857537,0,1,1,1.316,0
1,16934.131,157.7690848,2,20,12,1.234,36577.847
1,2039.608,179.2862965,2,19,11,1.166,34538.239
0,5423.834,97.07540978,2,6,6,1.252,7620.662
0,999.195,71.78893016,0,1,1,1.297,0
0,2933.563,173.1127224,2,3,3,1.246,5188.01
0,4405.434,51.53692237,2,10,9,1.181,28812.175
0,4777.514,125.6164704,2,68,19,1.456,88320.471
1,14954.628,170.1038283,2,109,20,1.243,126632.792
0,776.314,129.907931,0,1,1,1.293,0
0,5583.792,114.8165707,0,1,1,1.529,0
0,1530.943,138.9066365,2,5,4,1.239,9656.996
0,983.037,146.9141272,0,1,1,1.2,0
1,1389.687,131.1505995,0,1,1,1.059,0
1,3872.184,113.7094203,2,2,2,1.14,5784.812
0,459.045,170.7369092,0,1,1,1.036,0
1,4319.766,168.1406656,2,29,16,1.467,74645.925
1,4770.256,142.985042,0,1,1,1.218,0
0,441.949,117.3028365,0,1,1,1.009,0
0,5630.626,95.46528638,0,1,1,1.622,0
1,3032.998,93.65929582,2,24,15,1.311,71612.927
1,7053.47,142.6753362,2,11,8,1.129,23777.404
0,3915.331,74.0355778,2,2,2,1.152,4770.256
0,1964.25,167.2179354,0,1,1,1.295,0
1,4835.538,145.4047224,0,1,1,1.146,0
0,15869.762,178.3122379,0,1,1,1.356,0
0,407.012,51.02339014,2,2,2,1.066,4835.538
1,8212.25,179.9498497,2,9,8,1.324,20599.925
1,3546.456,171.6188035,2,9,7,1.285,20230.948
0,5074.63,132.1078161,0,1,1,1.244,0
1,2137.386,143.7934357,0,1,1,1.636,0
1,13474.877,133.0331922,2,21,13,1.24,53511.978
0,2090.233,178.0542323,2,7,7,1.541,18509.692
0,1745.959,131.2228823,0,1,1,1.772,0
0,548.396,102.9086822,0,1,1,1.079,0
0,1626.68,160.6299135,2,8,6,1.249,18604.268
0,675.999,107.1686954,0,1,1,1.048,0
0,512.658,92.90900268,0,1,1,1.042,0
1,987.308,145.9324437,2,6,6,1.099,17522.384
0,837.716,92.13548718,0,1,1,1.109,0
0,6500.208,144.1301902,0,1,1,1.273,0
0,5295.074,146.9719032,2,2,2,2.015,2137.386
1,1279.579,174.2048064,2,5,5,1.067,16242.805
1,12457.294,98.16869419,2,41,12,1.332,114175.498
0,2426.739,65.18960116,2,7,5,1.303,27333.828
1,254.034,128.4307072,2,34,11,1,113921.464
0,973.13,138.6023042,0,1,1,1.549,0
1,8892.874,158.4908346,2,5,4,1.364,18440.954
1,619.926,125.5488928,0,1,1,1.739,0
0,3770.015,176.6261662,2,2,2,1.664,619.926
0,2994.944,115.1490974,0,1,1,1.208,0
0,231.462,109.4552911,0,1,1,1.421,0
1,2738.017,109.5499477,2,3,3,1.354,15702.937
1,5417.017,151.7817375,0,1,1,1.433,0
0,6396.815,123.7743478,2,15,10,1.599,93019.908
0,4010.216,154.2770107,2,2,2,1.968,2575.063
1,9908.245,153.5566755,2,7,5,1.288,8696.023
1,1416.796,178.9613005,0,1,1,1.204,0
0,12849.389,152.3514776,0,1,1,1.219,0
0,2575.063,142.0189793,0,1,1,1.087,0
1,1729.794,176.4479964,2,4,4,1.127,5946.578
0,558.53,109.2278649,0,1,1,1.163,0
1,1750.271,132.2402156,2,3,3,1.11,4196.307
0,644.098,119.4582035,0,1,1,1.16,0
1,5837.205,146.718371,2,11,9,1.142,87182.703
0,576.239,84.33987918,2,3,3,1.033,1003.973
1,352.275,175.5878648,0,1,1,1.018,0
0,4012.853,126.7481061,2,3,3,1.286,4683.17
1,388.729,148.5487734,2,2,2,1.033,615.244
0,2575.891,125.4027526,0,1,1,1.166,0
0,344.613,89.27979265,0,1,1,1.086,0
0,615.244,74.04168698,0,1,1,1.303,0
1,3028.606,155.8149185,0,1,1,1.319,0
0,1448.249,146.8995092,0,1,1,1.078,0
1,3280.178,131.6739575,2,2,2,1.254,916.129
1,2304.581,173.8977626,2,2,2,1.08,2378.589
1,916.129,151.6803127,0,1,1,1.254,0
0,660.805,118.2547121,0,1,1,1.197,0
1,10297.761,177.1241712,2,4,4,1.634,19056.535
1,1096.053,143.3991444,0,1,1,1.079,0
0,1296.107,90.4149288,0,1,1,1.173,0
0,2378.589,179.461173,0,1,1,1.131,0
1,7212.843,158.7137093,2,10,8,1.384,79969.86
0,3410.744,123.8344304,0,1,1,1.247,0
0,1356.608,99.6640659,0,1,1,1.249,0
0,1078.687,140.7359856,2,2,2,1.074,12274.126
0,3671.394,78.74604501,0,1,1,1.222,0
0,6677.621,174.1601205,0,1,1,1.579,0
1,12274.126,116.6040471,0,1,1,1.582,0
0,7043.424,97.89694889,2,2,2,1.331,3370.209
1,3370.209,148.142311,0,1,1,1.125,0
0,2796.503,123.2115005,0,1,1,1.113,0
0,9750.295,155.3816979,0,1,1,1.589,0
1,5069.23,140.135338,2,9,8,1.1,61928.644
0,1392.334,89.10853887,0,1,1,1.194,0
0,8080.106,126.215415,2,9,7,1.135,35186.802
1,6712.65,110.5984042,0,1,1,1.288,0
0,17564.117,90.27736581,2,2,2,1.382,9750.295
1,890.064,142.3096356,2,6,5,1.094,20233.075
0,562.124,93.72824237,0,1,1,1.065,0
0,2230.47,178.3156657,0,1,1,1.214,0
0,917.718,39.99154185,2,6,5,1.094,35304.123
0,7412.854,105.3387663,2,5,4,1.344,27891.269
1,4824.792,165.0672035,0,1,1,1.079,0
1,6677.919,151.6325455,2,5,4,1.217,13555.156
0,5980.202,164.1681153,0,1,1,1.236,0
0,3354.191,164.8175672,2,3,3,1.084,7462.325
1,2637.533,128.5838505,2,2,2,1.042,4824.792
0,1259.167,39.50785112,0,1,1,1.094,0
1,17031.427,170.2397646,2,8,7,1.158,44897.217
0,2618.091,114.8764856,0,1,1,1.131,0
1,3709.942,144.8974734,2,3,3,1.166,9193.304
0,4228.288,93.28248618,2,2,2,1.219,9326.868
0,2799.081,114.8509834,0,1,1,1.118,0
0,477.928,174.8579477,0,1,1,1.08,0
1,1279.86,149.4080149,2,2,2,1.144,7913.444
0,2691.217,158.236429,0,1,1,1.064,0
0,1798.119,100.9850445,0,1,1,1.05,0
1,7913.444,175.3260296,0,1,1,1.176,0
1,9326.868,118.0923791,0,1,1,1.336,0
1,11660.798,123.7101484,2,7,6,1.16,33236.419
0,1874.786,56.77122372,0,1,1,1.173,0
