ID,Name,Next reach ID,C_S,N_R,N_S,D_R,M_U
311,南岸溪,289,0,0,1,1,0.0
312,麻阳溪,290,1,0,1,1,0.0
313,九曲溪4,317,0,0,1,1,0.0
314,九曲溪2,318,0,0,1,1,0.0
315,金陵溪,299,0,0,1,1,0.0
316,南浦溪,300,1,2,9,6,124106.45800000001
317,九曲溪,310,0,2,5,5,52301.83
318,九曲溪,319,1,2,3,3,40744.809
319,九曲溪,317,1,2,4,4,46233.072
320,富屯溪,306,1,2,5,4,51808.464
321,黄坑溪,290,0,0,1,1,0.0
322,清溪1,324,0,0,1,1,0.0
323,九曲溪,318,1,2,2,2,36875.025
324,清溪,320,0,2,3,3,42258.409
325,富屯溪,320,1,2,2,2,10024.453000000001
326,建溪,310,1,2,7,6,65279.062
327,建溪,326,1,2,6,5,64229.477
328,梅溪1,329,0,0,1,1,0.0
329,梅溪,327,0,2,2,2,13648.335
330,汉溪,306,0,0,1,1,0.0
331,石波溪,316,0,2,2,2,5269.761999999999
332,竹口溪,309,0,0,1,1,0.0
333,石波溪1,331,0,0,1,1,0.0
334,九曲溪3,319,0,0,1,1,0.0
335,梅溪,329,1,0,1,1,0.0
336,梅溪,325,0,0,1,1,0.0
337,石波溪,331,1,0,1,1,0.0
338,松溪,309,1,0,1,1,0.0
339,富屯溪,325,1,0,1,1,0.0
340,九曲溪1,323,0,0,1,1,0.0
341,南浦溪,316,1,2,7,5,90737.841
342,蒲田溪,302,0,2,2,2,7081.255999999998
343,黄柏溪,326,0,0,1,1,0.0
344,建溪,327,1,2,4,4,53076.426
345,清溪,346,1,0,1,1,0.0
346,清溪,324,1,2,2,2,16982.170000000002
347,蒲田溪1,342,0,0,1,1,0.0
348,西溪,344,0,2,3,3,33893.613
349,蒲田溪,342,1,0,1,1,0.0
350,九曲溪,323,1,0,1,1,0.0
351,永兴溪,341,0,2,2,2,38533.575
352,永兴溪1,351,0,0,1,1,0.0
353,南浦溪,341,1,2,5,4,79969.466
354,坑口溪,348,0,2,2,2,16244.616
355,富岭溪,353,0,2,2,2,60390.61799999999
356,西溪,348,1,0,1,1,0.0
357,南浦溪,353,1,2,3,3,69175.448
358,坑口溪,354,1,0,1,1,0.0
359,坑口溪1,354,0,0,1,1,0.0
360,南浦溪5,357,0,0,1,1,0.0
361,富岭溪1,355,0,0,1,1,0.0
362,永兴溪,351,1,0,1,1,0.0
363,建溪,344,1,0,1,1,0.0
364,南浦溪,357,1,2,2,2,44324.178
365,官田溪,364,0,0,1,1,0.0
366,南浦溪,364,1,0,1,1,0.0
367,古田溪,381,1,2,6,5,43889.752
368,长桥溪,367,0,2,4,4,37854.032
369,平湖溪,367,0,2,2,2,7591.991
370,青印溪,115,0,2,3,3,49020.401
371,青印溪,370,1,2,2,2,26932.176
372,青印溪2,370,0,0,1,1,0.0
373,金溪,189,1,2,21,11,144956.64299999998
374,金溪5,373,0,0,1,1,0.0
375,金溪6,376,0,2,4,4,41746.744
376,金溪,373,1,2,20,10,132498.67899999997
377,金溪,376,1,2,16,9,113016.73899999997
378,沙溪,157,1,2,40,22,277327.82899999997
379,闽江,131,1,2,163,29,402697.91300000006
380,九龙溪,67,0,2,24,12,145275.526
381,古田溪,145,1,2,10,6,58834.30500000001
382,文江溪2,63,0,0,1,1,0.0
383,文江溪,69,1,0,1,1,0.0
384,富岭溪,355,1,0,1,1,0.0
385,同青河,264,0,0,1,1,0.0
386,富屯溪,240,1,2,20,16,152340.057
387,沙溪1,172,0,0,1,1,0.0
388,沙溪2,157,0,0,1,1,0.0
389,沙溪4,88,0,0,1,1,0.0
390,吴坊洋溪,57,0,2,2,2,2645.9249999999993
391,水茜溪,141,1,0,1,1,0.0
392,清溪1,346,0,0,1,1,0.0
