ID,name,起点ID,终点ID,Length
284,松溪,151,146,25177.021
285,后崇溪,348,150,24298.012
286,松溪,152,151,5855.698
287,松溪2,347,152,9948.01
288,兴田溪,349,153,10154.764
289,建溪,163,153,3257.007
290,麻阳溪,164,145,68162.877
291,富屯溪,155,154,8526.426
292,评溪,156,154,9699.058
293,西溪,147,155,22614.026
294,评溪1,350,156,14788.854
295,富屯溪,157,155,1778.801
296,杉溪,160,151,9505.502
297,西溪2,351,147,23955.276
298,富屯溪,158,157,1517.662
299,富屯溪,161,158,2193.056
300,南浦溪,159,149,15640.236
301,南浦溪2,353,159,8945.19
302,松溪,162,152,14952.463
303,扰评溪,354,158,11654.862
304,杉溪,356,160,16339.52
305,评溪,355,156,15547.195
306,富屯溪,169,161,3775.55
307,砂评溪,357,157,21886.221
308,杉溪1,359,160,11679.493
309,松溪,176,162,5589.379
310,建溪,167,163,24414.402
311,南岸溪,361,163,30696.2
312,麻阳溪,362,164,19288.299
313,九曲溪4,352,165,8005.14
314,九曲溪2,358,166,5133.971
315,金陵溪,363,161,18511.066
316,南浦溪,175,159,8008.848
317,九曲溪,165,167,8138.402
318,九曲溪,166,168,5488.263
319,九曲溪,168,165,6068.758
320,富屯溪,171,169,6870.26
321,黄坑溪,364,164,18690.622
322,清溪1,360,170,12612.715
323,九曲溪,179,166,3869.784
324,清溪,170,171,9550.055
325,富屯溪,178,171,2033.097
326,建溪,172,167,4701.343
327,建溪,174,172,1049.585
328,梅溪1,365,173,13648.335
329,梅溪,173,174,18701.068
330,汉溪,366,169,19388.55
331,石波溪,177,175,13384.999
332,竹口溪,367,176,14137.822
333,石波溪1,368,177,4438.308
334,九曲溪3,369,168,13331.82
335,梅溪,370,173,12163.008
336,梅溪,371,178,9959.729
337,石波溪,373,177,5269.762
338,松溪,374,176,53361.623
339,富屯溪,375,178,10024.453
340,九曲溪1,376,179,15457.683
341,南浦溪,183,175,33368.617
342,蒲田溪,181,162,25850.724
343,黄柏溪,377,172,18572.794
344,建溪,182,174,11153.051
345,清溪,372,180,10371.071
346,清溪,180,170,25276.239
347,蒲田溪1,378,181,4652.559
348,西溪,185,182,9246.492
349,蒲田溪,381,181,7081.256
350,九曲溪,382,179,36875.025
351,永兴溪,184,183,13800.491
352,永兴溪1,379,184,21594.591
353,南浦溪,186,183,10768.375
354,坑口溪,187,185,12285.066
355,富岭溪,189,186,14732.932
356,西溪,383,185,33893.613
357,南浦溪,188,186,10794.018
358,坑口溪,384,187,11432.86
359,坑口溪1,385,187,16244.616
360,南浦溪5,386,188,7796.987
361,富岭溪1,387,189,15874.321
362,永兴溪,388,184,38533.575
363,建溪,389,182,53076.426
364,南浦溪,190,188,24851.27
365,官田溪,390,190,17467.027
366,南浦溪,392,190,44324.178
367,古田溪,191,91,14944.553
368,长桥溪,110,191,6035.72
369,平湖溪,104,191,14771.106
370,青印溪,192,48,14603.278
371,青印溪,60,192,22088.225
372,青印溪2,258,192,12929.13
373,金溪,194,94,35231.583
374,金溪5,301,194,17615.914
375,金溪6,87,193,15988.415
376,金溪,193,194,12457.964
377,金溪,111,193,19481.94
378,沙溪,71,195,25607.156
379,闽江,75,77,15649.167
380,九龙溪,40,30,39119.265
381,古田溪,91,79,30249.988
382,文江溪2,222,38,22577.456
383,文江溪,237,44,17276.114
384,富岭溪,391,189,60390.618
385,同青河,345,140,24618.5
386,富屯溪,133,126,15439.285
387,沙溪1,272,86,28233.853
388,沙溪2,266,195,26512.709
389,沙溪4,251,42,42409.347
390,吴坊洋溪,2,13,29489.856
391,水茜溪,281,76,22247.96
392,清溪1,380,180,16982.17
