FID,OBJECTID,fclass,name,主支流,语义一,上游河,Length,ID,起点X,起点y,终点x,终点y,下游起点X,下游起点Y,下游终点Y,下游终点X
39,40,2,罗口溪,1.000000000000000,1.000000000000000,2.000000000000000,9716.005999999999400,39.000000000000000,116.7170029,25.7956009,116.7740021,25.8325996,116.7740021,25.8325996,25.9946003,116.8420029
40,41,3,文川溪,-1.000000000000000,0.000000000000000,2.000000000000000,6790.177999999999900,40.000000000000000,116.8020020,25.8057995,116.7740021,25.8325996,116.7740021,25.8325996,25.9946003,116.8420029
41,42,2,大樟溪,1.000000000000000,1.000000000000000,2.000000000000000,23128.219000000001000,41.000000000000000,118.7399979,25.7348995,118.8820038,25.8370991,118.8820038,25.8370991,25.8638000,118.9319992
42,43,4,琴源溪,1.000000000000000,1.000000000000000,0.000000000000000,14440.530000000001000,42.000000000000000,116.8840027,25.8526993,116.8249969,25.7945995,116.8249969,25.7945995,25.8057995,116.8020020
43,44,2,大樟溪,1.000000000000000,1.000000000000000,2.000000000000000,6247.907000000000200,43.000000000000000,118.8820038,25.8370991,118.9319992,25.8638000,118.9319992,25.8638000,25.8656006,118.9449997
44,45,2,大樟溪,1.000000000000000,1.000000000000000,2.000000000000000,1349.874000000000000,44.000000000000000,118.9319992,25.8638000,118.9449997,25.8656006,118.9449997,25.8656006,25.9831009,119.2829971
45,46,3,温泉溪,-1.000000000000000,0.000000000000000,0.000000000000000,19110.924999999999000,45.000000000000000,118.9359970,25.7511005,118.9449997,25.8656006,118.9449997,25.8656006,25.9831009,119.2829971
46,47,3,长庆溪,-1.000000000000000,0.000000000000000,2.000000000000000,7191.144000000000200,46.000000000000000,118.5780029,25.8659000,118.5859985,25.8083000,118.5859985,25.8083000,25.7900009,118.6419983
47,48,2,罗口溪,1.000000000000000,1.000000000000000,0.000000000000000,52192.345999999998000,47.000000000000000,116.5869980,25.7926006,116.7170029,25.7956009,116.7170029,25.7956009,25.8325996,116.7740021
48,49,3,长庆溪,1.000000000000000,1.000000000000000,0.000000000000000,9585.584999999999100,48.000000000000000,118.5149994,25.8899002,118.5780029,25.8659000,118.5780029,25.8659000,25.8083000,118.5859985
49,50,3,富泉溪,-1.000000000000000,0.000000000000000,0.000000000000000,12264.119000000001000,49.000000000000000,118.8270035,25.8908005,118.8820038,25.8370991,118.8820038,25.8370991,25.8638000,118.9319992
50,51,3,大樟溪1,-1.000000000000000,0.000000000000000,0.000000000000000,32377.260999999999000,50.000000000000000,118.4160004,25.9276009,118.4710007,25.7649994,118.4710007,25.7649994,25.8083000,118.5859985
51,52,2,罗坊溪,1.000000000000000,1.000000000000000,0.000000000000000,6408.841000000000300,51.000000000000000,117.0070038,25.9109001,117.0490036,25.9393997,117.0490036,25.9393997,25.9902000,117.0500031
52,53,3,罗坊溪1,-1.000000000000000,0.000000000000000,0.000000000000000,7122.842999999999800,52.000000000000000,117.0599976,25.8994999,117.0490036,25.9393997,117.0490036,25.9393997,25.9902000,117.0500031
53,54,4,一二五溪,-1.000000000000000,0.000000000000000,0.000000000000000,10685.298000000001000,53.000000000000000,118.5839996,25.9402008,118.5780029,25.8659000,118.5780029,25.8659000,25.8083000,118.5859985
54,55,2,尤溪,1.000000000000000,1.000000000000000,2.000000000000000,30695.779999999999000,54.000000000000000,117.9710007,25.8052006,118.0429993,25.9403000,118.0429993,25.9403000,26.0538998,118.1419983
55,56,4,罗口溪3,-1.000000000000000,0.000000000000000,0.000000000000000,14026.883000000000000,55.000000000000000,116.7269974,25.8889999,116.7259979,25.9615002,116.7259979,25.9615002,25.9946003,116.8420029
56,57,3,清凉溪,-1.000000000000000,0.000000000000000,0.000000000000000,22071.499000000000000,56.000000000000000,118.8450012,25.9591999,118.9319992,25.8638000,118.9319992,25.8638000,25.8656006,118.9449997
57,58,2,文川溪,-1.000000000000000,0.000000000000000,2.000000000000000,61916.612999999998000,57.000000000000000,117.0670013,25.7381001,117.3119965,25.9757996,117.3119965,25.9757996,26.0186996,117.3899994
58,59,2,大樟溪,-1.000000000000000,0.000000000000000,2.000000000000000,48427.817000000003000,58.000000000000000,118.9449997,25.8656006,119.2829971,25.9831009,119.2829971,25.9831009,25.9619007,119.3889999
59,60,1,闽江,1.000000000000000,1.000000000000000,2.000000000000000,11066.825000000001000,59.000000000000000,119.2829971,25.9831009,119.3889999,25.9619007,119.3889999,25.9619007,0.0000000,0.0000000
60,61,2,罗坊溪,-1.000000000000000,0.000000000000000,2.000000000000000,10192.281000000001000,60.000000000000000,117.0490036,25.9393997,117.0500031,25.9902000,117.0500031,25.9902000,26.0508003,117.0879974
